GeneSymbol,GeneA,GeneB,A,B,AllA
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:55054,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:55054,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:9140,entrez gene/locuslink:55054,biogrid:114587|entrez gene/locuslink:ATG12,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:APG12(gene name synonym)|entrez gene/locuslink:APG12L(gene name synonym)|entrez gene/locuslink:FBR93(gene name synonym)|entrez gene/locuslink:HAPG12(gene name synonym)
ATG16L1,entrez gene/locuslink:8517,entrez gene/locuslink:55054,biogrid:114089|entrez gene/locuslink:IKBKG,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:AMCBX1(gene name synonym)|entrez gene/locuslink:FIP-3(gene name synonym)|entrez gene/locuslink:FIP3(gene name synonym)|entrez gene/locuslink:Fip3p(gene name synonym)|entrez gene/locuslink:IKK-gamma(gene name synonym)|entrez gene/locuslink:IMD33(gene name synonym)|entrez gene/locuslink:IP(gene name synonym)|entrez gene/locuslink:IP1(gene name synonym)|entrez gene/locuslink:IP2(gene name synonym)|entrez gene/locuslink:IPD2(gene name synonym)|entrez gene/locuslink:NEMO(gene name synonym)|entrez gene/locuslink:ZC2HC9(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:1213,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:107623|entrez gene/locuslink:CLTC,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:3308,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:109540|entrez gene/locuslink:HSPA4,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:2217,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:108511|entrez gene/locuslink:FCGRT,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:1213,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:107623|entrez gene/locuslink:CLTC,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:9474,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:114859|entrez gene/locuslink:ATG5,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:1173,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:107587|entrez gene/locuslink:AP2M1,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:23001,entrez gene/locuslink:55054,biogrid:116647|entrez gene/locuslink:WDFY3,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:ALFY(gene name synonym)|entrez gene/locuslink:ZFYVE25(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:351,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:106848|entrez gene/locuslink:APP,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:9474,entrez gene/locuslink:55054,biogrid:114859|entrez gene/locuslink:ATG5,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:APG5(gene name synonym)|entrez gene/locuslink:APG5-LIKE(gene name synonym)|entrez gene/locuslink:APG5L(gene name synonym)|entrez gene/locuslink:ASP(gene name synonym)|entrez gene/locuslink:hAPG5(gene name synonym)
ATG16L1,entrez gene/locuslink:9474,entrez gene/locuslink:55054,biogrid:114859|entrez gene/locuslink:ATG5,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:APG5(gene name synonym)|entrez gene/locuslink:APG5-LIKE(gene name synonym)|entrez gene/locuslink:APG5L(gene name synonym)|entrez gene/locuslink:ASP(gene name synonym)|entrez gene/locuslink:hAPG5(gene name synonym)
ATG16L1,entrez gene/locuslink:5702,entrez gene/locuslink:55054,biogrid:111675|entrez gene/locuslink:PSMC3,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:TBP1(gene name synonym)
ATG16L1,entrez gene/locuslink:26100,entrez gene/locuslink:55054,biogrid:117550|entrez gene/locuslink:WIPI2|entrez gene/locuslink:CGI-50,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:ATG18B(gene name synonym)|entrez gene/locuslink:Atg21(gene name synonym)|entrez gene/locuslink:WIPI-2(gene name synonym)
ATG16L1,entrez gene/locuslink:57405,entrez gene/locuslink:55054,biogrid:121507|entrez gene/locuslink:SPC25|entrez gene/locuslink:AD024,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:SPBC25(gene name synonym)|entrez gene/locuslink:hSpc25(gene name synonym)
ATG16L1,entrez gene/locuslink:171024,entrez gene/locuslink:55054,biogrid:128105|entrez gene/locuslink:SYNPO2,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,-
ATG16L1,entrez gene/locuslink:83452,entrez gene/locuslink:55054,biogrid:123654|entrez gene/locuslink:RAB33B,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:SMC2(gene name synonym)
